Soil_Type,Farm_Area_acres,Water_Availability_L_per_week,Irrigation_Type,Fertilizer_Used_kg,Season,Rainfall_mm,Temperature_C,Soil_pH,Crop
Silty,5.17,704,Flood,159,Rabi,745,30,7.8,Tomato
Sandy,1.06,897,Rainfed,160,Kharif,1056,39,7.6,Cotton
Silty,7.72,666,Sprinkler,175,Summer,474,23,5.7,Tomato
Clay,4.08,354,Rainfed,120,Rabi,264,20,7.5,Maize
Silty,8.49,843,Drip,62,Rabi,204,19,7.9,Tomato
Clay,7.65,1198,Rainfed,140,Rabi,272,20,6.0,Rice
Sandy,3.16,354,Drip,82,Rabi,426,26,6.1,Pulses
Silty,0.6,805,Flood,73,Kharif,978,37,6.3,Cotton
Peaty,3.1,1014,Drip,25,Kharif,215,33,6.6,Rice
Clay,0.75,947,Sprinkler,32,Summer,533,33,5.7,Rice
Clay,8.18,248,Drip,149,Kharif,1051,21,8.0,Maize
Loamy,7.15,1025,Rainfed,120,Summer,1046,32,5.7,Tomato
Loamy,7.51,1123,Rainfed,154,Rabi,300,18,5.7,Wheat
Clay,7.02,1202,Sprinkler,120,Rabi,1051,18,7.3,Rice
Peaty,2.08,766,Drip,196,Kharif,641,25,6.1,Rice
Peaty,4.45,847,Drip,143,Summer,553,31,7.7,Tomato
Peaty,7.31,1037,Rainfed,142,Kharif,936,38,8.2,Maize
Sandy,5.06,1219,Flood,164,Kharif,212,18,6.7,Rice
Silty,4.86,697,Drip,42,Kharif,124,29,8.1,Maize
Clay,6.53,992,Rainfed,117,Rabi,1062,30,8.1,Rice
Peaty,4.82,1186,Drip,85,Kharif,269,40,5.7,Rice
Loamy,5.68,1321,Sprinkler,68,Rabi,556,31,6.0,Wheat
Loamy,5.87,1329,Drip,98,Rabi,366,33,5.7,Wheat
Peaty,3.84,646,Sprinkler,200,Kharif,697,21,6.0,Cotton
Peaty,7.72,646,Sprinkler,113,Summer,464,33,7.3,Onion
Clay,9.93,640,Flood,114,Rabi,776,21,6.9,Pulses
Sandy,5.82,855,Flood,35,Rabi,210,26,8.2,Pulses
Sandy,6.19,1146,Rainfed,160,Kharif,1139,37,7.3,Maize
Loamy,4.64,774,Flood,111,Summer,1087,32,7.5,Tomato
Silty,5.82,1325,Drip,131,Kharif,340,36,6.8,Cotton
Silty,8.61,1479,Sprinkler,109,Rabi,367,27,7.9,Wheat
Sandy,1.77,1057,Drip,79,Summer,496,37,5.6,Onion
Loamy,5.12,1112,Rainfed,80,Summer,354,22,5.6,Tomato
Clay,9.04,351,Sprinkler,59,Rabi,410,28,6.8,Maize
Loamy,4.2,926,Rainfed,113,Kharif,136,28,5.8,Maize
Loamy,6.63,1359,Drip,155,Kharif,648,26,7.0,Cotton
Peaty,5.51,1222,Flood,40,Kharif,210,28,7.1,Cotton
Clay,8.3,1308,Flood,177,Summer,869,39,7.8,Rice
Clay,6.84,955,Flood,60,Kharif,706,18,5.8,Rice
Clay,8.04,680,Rainfed,26,Summer,800,18,7.9,Onion
Peaty,0.59,1412,Sprinkler,116,Rabi,366,19,8.2,Onion
Sandy,8.57,654,Sprinkler,38,Kharif,319,28,7.4,Cotton
Loamy,1.68,1417,Drip,23,Rabi,315,40,6.3,Wheat
Sandy,9.02,269,Flood,185,Summer,778,23,6.8,Pulses
Sandy,8.86,950,Flood,111,Kharif,654,40,6.2,Maize
Sandy,9.46,952,Rainfed,129,Kharif,933,19,6.4,Cotton
Silty,3.71,839,Rainfed,25,Summer,124,32,7.3,Onion
Sandy,1.99,622,Flood,105,Rabi,919,20,7.5,Rice
Peaty,8.64,1109,Drip,170,Rabi,391,26,7.3,Tomato
Sandy,8.04,1242,Rainfed,165,Summer,471,36,7.6,Tomato
Sandy,1.57,1154,Rainfed,25,Kharif,757,28,5.8,Maize
Peaty,8.85,1408,Drip,131,Kharif,332,33,7.1,Cotton
Sandy,8.97,626,Rainfed,104,Kharif,236,23,7.4,Rice
Silty,8.79,544,Drip,174,Summer,859,23,7.0,Onion
Peaty,0.78,940,Rainfed,187,Summer,1032,35,6.5,Tomato
Clay,0.67,873,Sprinkler,129,Rabi,276,23,6.1,Pulses
Clay,1.64,1102,Rainfed,198,Kharif,850,19,7.2,Rice
Sandy,9.79,1466,Flood,110,Summer,415,20,7.5,Tomato
Loamy,5.39,1310,Flood,171,Rabi,1029,38,6.5,Wheat
Silty,5.43,1465,Drip,57,Kharif,1012,38,6.9,Maize
Loamy,2.3,346,Flood,56,Rabi,1110,32,7.0,Wheat
Sandy,1.54,706,Flood,53,Kharif,316,33,7.7,Cotton
Loamy,0.52,709,Sprinkler,20,Summer,194,34,6.7,Onion
Loamy,2.33,981,Sprinkler,146,Kharif,782,34,8.5,Rice
Clay,7.62,1049,Flood,64,Rabi,361,23,8.0,Rice
Clay,7.48,440,Rainfed,158,Summer,705,39,7.1,Onion
Peaty,4.56,623,Rainfed,197,Kharif,474,37,7.1,Rice
Loamy,4.9,396,Sprinkler,126,Kharif,170,31,7.9,Cotton
Sandy,1.21,399,Sprinkler,67,Summer,961,35,6.2,Pulses
Clay,7.27,982,Flood,161,Kharif,639,27,7.6,Rice
Loamy,0.56,954,Drip,104,Rabi,212,29,6.6,Wheat
Clay,2.23,686,Rainfed,117,Kharif,548,37,5.8,Rice
Sandy,8.09,1470,Rainfed,40,Rabi,505,34,8.2,Sugarcane
Silty,4.57,624,Drip,85,Rabi,303,24,5.5,Sugarcane
Peaty,8.45,615,Sprinkler,128,Rabi,466,22,7.3,Maize
Silty,4.0,1102,Rainfed,132,Rabi,636,37,6.4,Wheat
Peaty,2.8,654,Sprinkler,100,Summer,1142,23,7.2,Onion
Loamy,9.96,1107,Flood,143,Kharif,147,22,6.9,Rice
Clay,6.9,476,Sprinkler,185,Rabi,686,30,7.3,Maize
Clay,4.92,1280,Sprinkler,197,Rabi,862,35,8.3,Rice
Peaty,8.32,658,Drip,43,Rabi,755,28,7.8,Onion
Silty,7.51,1399,Sprinkler,74,Summer,753,26,6.2,Onion
Silty,3.77,247,Sprinkler,64,Kharif,190,38,6.2,Rice
Peaty,6.07,1258,Sprinkler,44,Kharif,1193,34,7.8,Rice
Clay,8.78,871,Drip,148,Summer,994,23,5.7,Tomato
Clay,7.01,421,Sprinkler,142,Summer,377,31,7.5,Tomato
Sandy,5.93,1408,Rainfed,21,Kharif,1181,32,6.0,Cotton
Sandy,4.0,1390,Rainfed,157,Rabi,1030,37,8.4,Tomato
Loamy,1.55,314,Drip,101,Summer,664,30,6.0,Tomato
Peaty,6.48,936,Rainfed,125,Rabi,541,19,6.2,Rice
Peaty,6.93,469,Drip,22,Rabi,1189,18,7.0,Maize
Clay,2.53,419,Sprinkler,22,Kharif,644,33,7.3,Maize
Peaty,8.24,750,Drip,139,Kharif,1069,26,7.3,Maize
Sandy,7.37,563,Rainfed,102,Rabi,928,20,5.9,Pulses
Clay,9.9,1148,Drip,155,Summer,306,36,7.5,Rice
Loamy,9.27,745,Flood,39,Rabi,1181,37,7.3,Wheat
Clay,9.03,226,Rainfed,132,Rabi,932,23,6.6,Onion
Peaty,2.82,499,Rainfed,35,Summer,1085,32,5.5,Tomato
Sandy,5.88,300,Sprinkler,125,Summer,990,31,6.4,Pulses
Sandy,2.73,528,Rainfed,188,Rabi,404,32,7.7,Pulses
Clay,4.17,313,Drip,137,Rabi,1072,38,6.4,Maize
Sandy,7.2,1303,Sprinkler,30,Summer,345,21,8.2,Onion
Silty,4.83,822,Drip,43,Summer,1129,23,6.1,Tomato
Peaty,9.78,434,Sprinkler,43,Summer,224,27,7.6,Onion
Silty,3.72,704,Drip,54,Kharif,202,36,7.3,Cotton
Peaty,4.91,1458,Sprinkler,120,Kharif,968,23,5.6,Maize
Clay,4.0,588,Drip,196,Rabi,529,37,6.2,Rice
Loamy,8.02,815,Flood,199,Rabi,284,40,7.6,Wheat
Clay,1.77,756,Rainfed,187,Rabi,512,27,6.1,Rice
Clay,5.53,1060,Flood,186,Kharif,654,29,6.7,Rice
Sandy,3.66,1088,Sprinkler,62,Summer,728,23,7.1,Tomato
Peaty,4.92,1375,Rainfed,33,Summer,607,26,5.6,Tomato
Loamy,5.41,390,Flood,73,Kharif,192,31,6.2,Rice
Sandy,0.9,1297,Drip,138,Summer,933,29,7.2,Onion
Silty,7.08,1449,Sprinkler,90,Rabi,295,35,7.1,Rice
Peaty,2.43,1052,Sprinkler,165,Rabi,904,39,7.7,Onion
Loamy,5.83,682,Flood,166,Summer,819,20,8.0,Onion
Silty,9.44,627,Sprinkler,158,Kharif,1189,36,7.9,Rice
Loamy,4.06,314,Flood,52,Rabi,252,39,6.2,Wheat
Silty,1.37,215,Flood,49,Kharif,1150,31,8.1,Maize
Loamy,7.52,278,Rainfed,31,Kharif,171,23,5.8,Maize
Loamy,5.69,1348,Sprinkler,119,Rabi,476,26,8.3,Wheat
Peaty,6.55,1436,Rainfed,177,Rabi,1044,34,7.9,Tomato
Silty,9.84,933,Rainfed,70,Rabi,926,31,6.9,Tomato
Peaty,4.74,845,Flood,149,Kharif,151,32,8.3,Rice
Peaty,7.34,739,Sprinkler,40,Rabi,509,24,6.0,Maize
Silty,3.11,1488,Drip,173,Summer,750,37,8.4,Tomato
Clay,9.29,1056,Sprinkler,52,Summer,945,18,6.0,Rice
Peaty,4.93,845,Drip,66,Kharif,377,35,5.5,Maize
Silty,4.74,1438,Rainfed,27,Summer,1076,24,6.3,Tomato
Silty,9.75,1325,Rainfed,53,Summer,494,33,8.0,Tomato
Peaty,2.03,929,Flood,186,Kharif,874,34,7.9,Maize
Silty,9.31,244,Rainfed,62,Summer,1018,39,5.6,Onion
Sandy,6.44,1475,Drip,147,Rabi,601,26,6.4,Pulses
Peaty,5.43,773,Sprinkler,96,Summer,209,25,6.5,Tomato
Peaty,1.25,1321,Sprinkler,177,Rabi,839,35,5.9,Rice
Sandy,2.76,628,Rainfed,63,Kharif,1019,28,5.8,Maize
Sandy,8.88,1408,Flood,183,Rabi,519,30,5.9,Sugarcane
Sandy,5.36,550,Drip,191,Kharif,1043,19,7.0,Pulses
Peaty,6.64,867,Drip,141,Rabi,1144,27,6.6,Sugarcane
Sandy,0.91,1010,Flood,180,Kharif,803,40,7.1,Rice
Peaty,9.7,842,Flood,198,Kharif,660,26,7.2,Rice
Peaty,0.98,1230,Drip,145,Rabi,480,33,8.4,Rice
Peaty,6.08,560,Drip,151,Rabi,530,33,7.2,Cotton
Clay,9.73,1293,Rainfed,91,Rabi,1055,20,5.6,Rice
Silty,4.82,1342,Drip,76,Rabi,524,39,7.8,Tomato
Sandy,6.12,247,Rainfed,57,Rabi,511,37,6.3,Pulses
Loamy,1.95,534,Drip,160,Rabi,1075,39,6.2,Wheat
Silty,3.27,669,Drip,68,Kharif,1140,37,7.4,Rice
Loamy,4.23,839,Rainfed,124,Kharif,155,39,6.5,Maize
Sandy,9.51,1477,Rainfed,60,Kharif,655,39,8.1,Cotton
Silty,5.64,280,Rainfed,183,Summer,310,37,5.7,Onion
Clay,1.04,963,Flood,100,Summer,553,28,5.9,Rice
Sandy,9.61,1484,Sprinkler,101,Summer,984,23,7.7,Tomato
Silty,5.73,1024,Drip,146,Summer,453,23,5.9,Tomato
Clay,4.99,1196,Drip,121,Kharif,228,32,7.8,Rice
Loamy,1.16,1356,Rainfed,107,Summer,889,29,6.0,Onion
Silty,9.57,766,Drip,107,Summer,179,23,8.5,Onion
Peaty,1.25,229,Flood,30,Rabi,434,18,6.1,Wheat
Clay,4.42,486,Flood,26,Rabi,527,18,7.9,Tomato
Loamy,1.11,1117,Drip,66,Rabi,579,24,6.0,Wheat
Clay,7.57,1218,Flood,77,Summer,1039,37,8.3,Rice
Clay,6.77,1097,Flood,95,Summer,650,23,7.6,Rice
Sandy,6.21,1463,Flood,126,Rabi,596,22,6.6,Onion
Clay,7.99,664,Flood,190,Kharif,264,38,5.6,Maize
Peaty,6.89,837,Rainfed,45,Summer,167,33,7.9,Onion
Peaty,6.64,767,Flood,88,Rabi,324,22,8.4,Sugarcane
Clay,1.86,1360,Drip,161,Summer,1046,23,8.0,Rice
Silty,8.37,1418,Drip,33,Summer,480,25,8.2,Tomato
Sandy,1.32,259,Rainfed,153,Kharif,920,29,7.5,Pulses
Peaty,4.18,659,Flood,167,Rabi,927,30,5.8,Maize
Clay,3.7,1325,Sprinkler,164,Kharif,243,23,6.5,Rice
Loamy,5.19,400,Sprinkler,70,Summer,1040,31,8.3,Tomato
Silty,6.41,784,Sprinkler,133,Rabi,1006,29,7.0,Pulses
Peaty,0.89,1014,Drip,111,Summer,577,37,6.1,Onion
Peaty,3.86,230,Drip,113,Summer,973,25,7.1,Tomato
Sandy,2.19,1235,Drip,116,Rabi,617,26,7.4,Maize
Loamy,3.62,410,Drip,50,Kharif,362,22,6.3,Maize
Sandy,1.0,255,Sprinkler,158,Rabi,457,24,6.8,Pulses
Clay,6.42,860,Drip,183,Kharif,376,38,6.0,Cotton
Loamy,6.02,900,Flood,194,Kharif,215,34,7.6,Cotton
Silty,0.57,730,Rainfed,28,Rabi,1135,28,8.2,Onion
Silty,1.7,1293,Flood,153,Kharif,1161,25,7.3,Rice
Sandy,1.56,456,Sprinkler,62,Summer,818,38,6.7,Pulses
Clay,0.86,1370,Rainfed,132,Kharif,135,21,8.5,Rice
Sandy,0.75,1039,Flood,189,Rabi,757,37,5.6,Tomato
Sandy,5.51,1421,Rainfed,127,Summer,1127,21,7.3,Onion
Clay,6.92,1439,Drip,152,Summer,1185,37,6.9,Rice
Sandy,5.42,842,Flood,98,Summer,356,36,7.4,Tomato
Loamy,6.13,279,Flood,94,Kharif,440,18,7.6,Cotton
Loamy,3.54,600,Sprinkler,117,Summer,997,26,8.5,Onion
Peaty,4.61,700,Drip,37,Summer,962,20,8.4,Onion
Peaty,7.52,539,Flood,67,Kharif,845,25,8.4,Cotton
Silty,8.81,1006,Flood,26,Summer,298,20,6.5,Onion
Loamy,7.3,409,Drip,33,Rabi,1057,39,6.6,Wheat
Loamy,4.44,1500,Drip,90,Summer,983,32,6.5,Tomato
Silty,8.85,1436,Drip,199,Rabi,996,34,6.6,Cotton
Clay,1.89,924,Sprinkler,70,Summer,650,39,5.6,Rice
Loamy,3.36,1398,Flood,150,Rabi,1179,33,6.9,Wheat
Peaty,9.38,834,Flood,116,Kharif,319,24,7.6,Cotton
Sandy,4.26,321,Rainfed,69,Rabi,457,35,6.8,Pulses
Peaty,8.73,1194,Flood,149,Kharif,502,18,6.3,Cotton
Silty,5.25,319,Drip,84,Rabi,683,23,6.9,Sugarcane
Silty,9.97,608,Flood,198,Summer,708,26,7.6,Tomato
Clay,7.53,1093,Rainfed,107,Summer,282,38,7.5,Rice
Silty,0.8,1065,Sprinkler,152,Summer,516,33,6.3,Tomato
Clay,2.87,1373,Sprinkler,41,Summer,621,29,6.6,Rice
Sandy,6.93,858,Sprinkler,127,Kharif,607,29,7.5,Maize
Silty,1.46,1437,Rainfed,46,Rabi,881,33,5.5,Cotton
Silty,5.96,777,Flood,44,Rabi,263,20,7.2,Rice
Loamy,3.59,933,Sprinkler,88,Kharif,1144,25,6.0,Cotton
Peaty,7.64,1418,Rainfed,79,Summer,119,38,8.4,Tomato
Silty,6.24,625,Rainfed,42,Kharif,469,34,7.3,Maize
Silty,3.73,809,Rainfed,188,Kharif,1066,30,5.8,Maize
Silty,8.81,668,Rainfed,22,Summer,593,21,6.1,Onion
Peaty,3.8,1206,Flood,81,Kharif,433,23,7.9,Rice
Silty,2.53,907,Flood,71,Summer,675,30,6.9,Onion
Clay,9.0,1499,Drip,60,Rabi,1079,39,7.3,Rice
Silty,6.12,846,Rainfed,69,Kharif,363,31,8.0,Cotton
Loamy,4.93,297,Rainfed,23,Rabi,494,22,5.6,Wheat
Sandy,6.67,1436,Flood,137,Summer,796,21,8.5,Onion
Silty,0.62,356,Flood,42,Summer,675,29,5.8,Onion
Clay,2.49,1021,Flood,86,Summer,864,39,6.1,Rice
Loamy,1.78,1151,Drip,35,Kharif,1171,21,6.4,Maize
Peaty,1.88,909,Rainfed,116,Rabi,176,37,7.0,Pulses
Peaty,8.74,432,Flood,167,Summer,184,33,6.0,Tomato
Silty,1.14,1255,Drip,137,Kharif,619,25,7.1,Rice
Silty,7.67,502,Sprinkler,168,Summer,799,24,8.4,Onion
Sandy,6.22,533,Flood,178,Kharif,367,23,7.9,Pulses
Sandy,8.78,1385,Rainfed,179,Summer,624,37,6.1,Onion
Clay,4.28,1426,Drip,82,Kharif,384,26,8.3,Rice
Loamy,1.26,729,Flood,37,Kharif,174,25,6.8,Maize
Silty,6.13,293,Flood,109,Kharif,377,32,5.7,Rice
Sandy,7.03,577,Flood,28,Summer,240,31,6.7,Pulses
Silty,4.02,407,Sprinkler,153,Summer,667,27,6.4,Tomato
Sandy,5.99,734,Drip,81,Rabi,136,37,7.3,Rice
Silty,4.1,1169,Drip,54,Summer,699,21,7.0,Tomato
Sandy,9.08,713,Flood,79,Summer,1061,35,5.7,Onion
Sandy,5.02,1183,Rainfed,113,Rabi,608,30,7.1,Pulses
Peaty,3.86,915,Drip,164,Summer,1003,31,8.0,Tomato
Silty,2.71,523,Drip,76,Summer,803,38,6.5,Tomato
Sandy,4.36,1314,Flood,44,Rabi,837,21,7.4,Maize
Peaty,4.98,1430,Drip,185,Kharif,856,33,5.6,Maize
Loamy,3.08,324,Flood,200,Summer,962,35,5.6,Tomato
Sandy,8.24,609,Drip,90,Kharif,1111,36,6.0,Cotton
Loamy,0.96,861,Sprinkler,65,Kharif,208,34,8.2,Cotton
Loamy,4.34,1269,Drip,70,Kharif,545,35,6.0,Rice
Peaty,4.55,1025,Sprinkler,45,Kharif,780,31,6.3,Rice
Peaty,6.24,815,Drip,200,Kharif,979,28,7.7,Rice
Silty,2.17,316,Flood,43,Rabi,511,38,7.6,Sugarcane
Peaty,9.45,536,Drip,75,Summer,1043,36,7.5,Onion
Silty,2.74,1490,Drip,87,Kharif,622,24,5.6,Maize
Sandy,7.77,214,Flood,42,Rabi,1029,33,5.9,Pulses
Sandy,3.73,682,Rainfed,70,Summer,200,27,5.8,Tomato
Clay,4.06,926,Drip,85,Summer,606,33,7.6,Rice
Peaty,0.73,331,Rainfed,43,Rabi,628,20,6.3,Pulses
Loamy,2.24,1007,Rainfed,100,Kharif,295,39,5.9,Cotton
Sandy,9.31,344,Drip,84,Summer,268,33,7.0,Pulses
Clay,7.15,1271,Sprinkler,107,Kharif,181,40,8.1,Rice
Sandy,6.49,781,Sprinkler,175,Rabi,107,18,7.8,Tomato
Peaty,4.66,924,Flood,99,Summer,1173,30,5.8,Onion
Sandy,4.66,1146,Drip,119,Summer,669,30,7.9,Tomato
Silty,0.59,1344,Flood,105,Summer,1044,36,6.6,Tomato
Silty,3.13,1373,Flood,145,Rabi,994,31,6.0,Wheat
Clay,9.91,863,Sprinkler,80,Rabi,154,30,6.5,Tomato
Loamy,4.27,684,Rainfed,159,Rabi,230,37,6.8,Wheat
Peaty,5.56,486,Sprinkler,121,Kharif,587,22,6.0,Rice
Loamy,2.32,1160,Sprinkler,147,Kharif,1057,18,7.8,Maize
Sandy,2.33,1451,Sprinkler,91,Rabi,497,27,6.6,Onion
Silty,9.46,733,Drip,110,Rabi,824,35,6.8,Wheat
Sandy,3.03,465,Flood,170,Rabi,169,39,7.7,Pulses
Sandy,7.85,1457,Flood,99,Summer,1111,29,8.2,Onion
Silty,1.93,416,Sprinkler,69,Summer,770,35,6.7,Tomato
Loamy,4.84,609,Sprinkler,108,Summer,311,31,6.8,Onion
Sandy,9.79,1017,Drip,83,Summer,249,37,6.9,Tomato
Clay,8.87,718,Rainfed,38,Summer,975,25,8.0,Onion
Clay,6.15,764,Flood,155,Rabi,1151,20,6.4,Onion
Sandy,2.09,284,Flood,146,Kharif,849,40,7.9,Pulses
Peaty,3.48,1102,Rainfed,73,Rabi,270,26,7.3,Pulses
Peaty,9.95,848,Flood,146,Summer,144,35,7.9,Tomato
Sandy,0.67,1058,Sprinkler,40,Kharif,503,36,5.6,Cotton
Peaty,1.02,329,Rainfed,69,Rabi,306,30,6.3,Pulses
Peaty,4.39,245,Drip,52,Rabi,804,40,8.3,Wheat
Silty,8.25,782,Drip,26,Rabi,558,27,6.9,Wheat
Peaty,8.48,1404,Drip,72,Rabi,378,30,6.8,Wheat
Silty,7.51,901,Drip,68,Rabi,301,40,6.2,Tomato
Peaty,8.54,559,Flood,88,Summer,227,40,6.9,Onion
Sandy,0.93,1072,Rainfed,96,Kharif,1135,29,8.4,Cotton
Peaty,8.21,795,Sprinkler,167,Kharif,711,27,5.9,Maize
Loamy,7.03,1258,Rainfed,150,Summer,844,27,8.4,Tomato
Clay,7.68,472,Flood,74,Rabi,818,39,7.8,Wheat
Sandy,4.26,699,Sprinkler,70,Rabi,1074,25,6.3,Tomato
Clay,7.32,464,Drip,79,Summer,260,26,7.1,Onion
Clay,7.43,989,Flood,178,Kharif,931,32,6.5,Rice
Sandy,6.65,1353,Drip,62,Rabi,523,29,6.1,Rice
Loamy,2.24,1217,Sprinkler,97,Rabi,1038,26,6.1,Wheat
Sandy,6.05,1337,Drip,85,Rabi,534,40,8.1,Cotton
Loamy,3.57,710,Drip,93,Kharif,618,27,8.4,Maize
Peaty,1.91,1184,Rainfed,21,Kharif,154,27,7.5,Maize
Sandy,5.21,565,Drip,198,Kharif,603,29,6.3,Pulses
Sandy,5.18,602,Rainfed,119,Summer,1177,20,5.7,Tomato
Peaty,0.91,1118,Drip,180,Rabi,431,31,8.1,Cotton
Sandy,3.92,861,Rainfed,192,Kharif,874,26,7.3,Cotton
Loamy,1.23,330,Drip,26,Summer,462,24,6.5,Tomato
